severity,device,device_mac,device_ip,anomaly_type,flow,vlan,confidence,timestamp,status,anomaly_id,policy_outcome,traffic_class,source_zone,destination_zone
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","35.172.142.61","blocked_attempt","TCP (ACK,RST):40804","-1","0.75","1773144031","pending","242468","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","185.242.226.71","blocked_attempt","TCP (SYN):49200","-1","0.75","1773144030","pending","242465","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","1.0.0.2","blocked_attempt","TCP (RST):38790","-1","0.75","1773144030","pending","242466","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","35.212.92.177","blocked_attempt","TCP (RST):32841","-1","0.75","1773144030","pending","242467","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","118.194.250.232","blocked_attempt","TCP (SYN):23294","-1","0.75","1773144029","pending","242464","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","79.124.62.122","blocked_attempt","TCP (SYN):51941","-1","0.75","1773143971","pending","242459","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","79.124.62.122","blocked_attempt","TCP (SYN):29171","-1","0.75","1773143971","pending","242460","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","79.124.62.122","blocked_attempt","TCP (SYN):758","-1","0.75","1773143971","pending","242461","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","85.11.182.37","blocked_attempt","TCP (SYN):5280","-1","0.75","1773143971","pending","242462","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","20.65.194.61","blocked_attempt","TCP (SYN):9000","-1","0.75","1773143971","pending","242463","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","64.62.197.164","blocked_attempt","TCP (SYN):873","-1","0.75","1773143970","pending","242457","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","79.124.62.122","blocked_attempt","TCP (SYN):38062","-1","0.75","1773143970","pending","242458","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","147.185.132.61","blocked_attempt","TCP (SYN):4443","-1","0.75","1773143910","pending","242452","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","78.128.114.38","blocked_attempt","TCP (SYN):10000","-1","0.75","1773143910","pending","242453","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","152.32.207.124","blocked_attempt","TCP (SYN):1933","-1","0.75","1773143910","pending","242454","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","1.0.0.2","blocked_attempt","TCP (RST):41980","-1","0.75","1773143910","pending","242455","expected_deny","unknown","WAN","WAN"
"info","18:FD:74:00:6E:1F","18:FD:74:00:6E:1F","152.32.212.149","blocked_attempt","TCP (SYN):2507","-1","0.75","1773143910","pending","242456","expected_deny","unknown","WAN","WAN"
